Location,Location_coord,rating,Post_url
時時香 RICE BAR - 台中三越店,"(24.1647673, 120.6434748)",4.2,https://www.instagram.com/p/B13fkYkn1Kn/
鼎泰豐 台中店,"(24.1647444, 120.6446365)",4.4,https://www.instagram.com/p/CO5JpGqgRAA/
樂檸漢堡 THEFREEN BURGER 台中朝馬虎城門市,"(24.1644309, 120.6376545)",4.3,https://www.instagram.com/p/B_69c0-DbKR/
六堆伙房台中老虎城店,"(24.1642474, 120.6381239)",4.7,https://www.instagram.com/p/CFoYyfnDkLi/
紅龜桂 義台料理 Red beetle quei and Pizza,"(24.1642474, 120.6381239)",4.7,https://www.instagram.com/p/CXTRIXRFWGR/
圓砌鴛鴦升降鍋物 台中老虎城 全台第一升降鍋物 台中鍋物 台中火鍋 火鍋推薦 老虎城聚餐推薦餐廳 老虎城餐廳,"(24.1640826, 120.6381276)",4.9,https://www.instagram.com/p/CVfg88mPtrA/
Hokkaido Ramen Santouka 拉面山头火,"(24.1637658, 120.6444452)",4.6,https://www.instagram.com/p/CPMexdgr3JX/
饗食天堂 台中店,"(24.1637002, 120.6446167)",4.2,https://www.instagram.com/p/CKyjMQCMw4G/
Cafe at ALESSI Store - 台中店,"(24.1637002, 120.6446167)",4.2,https://www.instagram.com/p/CQvU3AUsuZY/
四季彩日本料理,"(24.1629143, 120.6436893)",4.2,https://www.instagram.com/p/CThW6Jtlztb/
DNA Spanish Restaurant,"(24.1613512, 120.6418787)",4.5,https://www.instagram.com/p/CXxyeXaA2TP/
富彩軒 私房粵菜,"(24.1611598, 120.641649)",4.2,https://www.instagram.com/p/CQgI2fWHnwQ/
forchetta 餐廳,"(24.1610893, 120.6421895)",4.3,https://www.instagram.com/p/CVUPvHvPpjg/
KR Prime Steak House,"(24.1608398, 120.6419403)",4.6,https://www.instagram.com/p/CWxgwVcvlBU/
KOI® PLUS (七期店),"(24.1607835, 120.6420252)",4.6,https://www.instagram.com/p/CTjxOgnnH6c/
台中僑園飯店,"(24.1599805, 120.6438893)",4.1,https://www.instagram.com/p/CDJYyG1DJrM/
陶板屋 台中台灣大道店,"(24.1553393, 120.664574)",4.2,https://www.instagram.com/p/CKF_-ZeHhzD/
泓品牛排館,"(24.1538632, 120.6661232)",4.1,https://www.instagram.com/p/CAEx21SDhO-/
龐德羅莎牛排沙拉(中港店),"(24.1536144, 120.6665513)",4.1,https://www.instagram.com/p/CVdNj5ipqib/
書報館,"(24.1531577, 120.6622889)",4.2,https://www.instagram.com/p/CW29IQ0pDPn/
小蒙牛頂級麻辣養身火鍋hotpot 台中中港店,"(24.1529958, 120.6664443)",4.5,https://www.instagram.com/p/CXDfcJiPbtB/
Restaurant Go.老吳的西洋料理,"(24.1527604, 120.662404)",4.2,https://www.instagram.com/p/CUaEySkvvOV/
TGI FRIDAYS 星期五美式餐廳 英才餐廳,"(24.1526211, 120.6664088)",4.1,https://www.instagram.com/p/CW5tWKJBkvh/
波西塔諾義式小館-Positano PASTA,"(24.15260989999999, 120.6593135)",4.4,https://www.instagram.com/p/CXxgd2Ovf5h/
Offer Oh昨日花卷 跨界好食｜台中必吃餐廳｜台中勤美餐廳｜台中聚餐餐廳｜台中商業午餐｜2021台中西區餐廳｜台中必吃餐廳｜台中西區美食｜台中聚餐餐廳推薦2021,"(24.1524772, 120.6599502)",4.4,https://www.instagram.com/p/CXv8gSBPt2U/
法義風味人文餐廳,"(24.1521086, 120.6672944)",4.5,https://www.instagram.com/p/CW8NJv7h28B/
金色三麥 台中勤美店,"(24.1514011, 120.6635423)",4.3,https://www.instagram.com/p/CHw9p4kDF9N/
路德威手工啤酒餐廳-戶外婚禮/婚禮場地/外燴/buffet,"(24.1509838, 120.6682471)",4.4,https://www.instagram.com/p/B19-W8yHtoH/
赤坂屋日式炭烤燒肉店,"(24.1507643, 120.6672573)",4.5,https://www.instagram.com/p/B-mfkbkl1is/
攜旺cafe台中寵物餐廳&浪浪中途學校,"(24.1507449, 120.6656591)",4.7,https://www.instagram.com/p/CXup-xmherq/
出一張嘴,"(24.1507418, 120.6674613)",4.1,https://www.instagram.com/p/CQGz4T8jBAq/
金苑茶餐廳,"(24.150632, 120.664519)",4.5,https://www.instagram.com/p/CCd6lMNFCd3/
松葉壽司,"(24.1502877, 120.6600828)",4.3,https://www.instagram.com/p/CFWUuVSBcpH/
Roundabout Café 圓環咖啡 - 台中西區咖啡/勤美草悟道早午餐,"(24.1500217, 120.6674764)",4.5,https://www.instagram.com/p/CXA1aCePohx/
築地,"(24.1499503, 120.6676425)",4.3,https://www.instagram.com/p/CDREASODVkv/
九冠樓石頭火鍋,"(24.1492075, 120.6619226)",4.1,https://www.instagram.com/p/CWQaBDtpiIu/
藤吉串燒,"(24.149169, 120.6625095)",4.4,https://www.instagram.com/p/CKt3tpWFVwQ/
嘉義阡涼麵,"(24.1489439, 120.6602907)",4.4,https://www.instagram.com/p/CVMoaw0hcRG/
石研室 台式爆炒石頭火鍋 - 台中勤美店,"(24.1489246, 120.6631676)",4.4,https://www.instagram.com/p/CX0mvUGP0Ij/
吳留手串燒居酒屋-台中店 /人氣美食 /推薦 /台中美食 /特色餐廳,"(24.1485201, 120.6629246)",4.6,https://www.instagram.com/p/CXib7tWvHAC/
阿川鵝肉,"(24.148504, 120.6602638)",4.1,https://www.instagram.com/p/COHXxyonTy5/
將將燒日式料理,"(24.1483392, 120.661329)",4.6,https://www.instagram.com/p/CXyLsEkPPaf/
HOT SHOCK 哈燒庫美式餐廳,"(24.1478292, 120.6637882)",4.5,https://www.instagram.com/p/CX0ez7UFIVg/
IL Volo pizza義波羅窯烤披薩,"(24.147722, 120.663139)",4.2,https://www.instagram.com/p/CEg_VknJ5SE/
藍洞意式廚房,"(24.1476974, 120.6634555)",4.1,https://www.instagram.com/p/CENvhmGnp5R/
丸松精緻套餐,"(24.1469202, 120.6660045)",4.1,https://www.instagram.com/p/CWKpqpkP6aJ/
東引釣客野生海產店,"(24.1468297, 120.6639389)",4.2,https://www.instagram.com/p/CNrwuclnrlL/
久流麵攤,"(24.14162779999999, 120.6852848)",4.3,https://www.instagram.com/p/BccCQUGguja/
德利麵食館,"(24.1403224, 120.6838605)",4.5,https://www.instagram.com/p/CWdDJjdvCdU/
古早味三代肉粥,"(24.1402605, 120.6847206)",4.2,https://www.instagram.com/p/CW7CCf1vCRU/
葉家虱目魚,"(24.140065, 120.6839381)",4.3,https://www.instagram.com/p/COLAn9gssfG/
阿恆越南河粉,"(24.139997, 120.684842)",4.4,https://www.instagram.com/p/CXTqFIevTU7/
台中英雄館,"(24.1398024, 120.688479)",4.1,https://www.instagram.com/p/BndjxjKHBDG/
傳記台中正老牌香菇肉羹 綠川店,"(24.1397152, 120.6847399)",4.1,https://www.instagram.com/p/B-OkkGMDlF_/
沁園春,"(24.1395207, 120.6826624)",4.1,https://www.instagram.com/p/CXvgq-BFzBs/
小夏天petit été,"(24.1390741, 120.6814291)",4.1,https://www.instagram.com/p/CXyKedPvgGs/
台中市第四信用合作社,"(24.1389704, 120.6820167)",4.4,https://www.instagram.com/p/CL1clrUHAJC/
阿明師老店太陽堂,"(24.1388735, 120.6807272)",4.1,https://www.instagram.com/p/0PsJx8TSJ_/
汕頭牛肉劉,"(24.1387867, 120.6832495)",4.2,https://www.instagram.com/p/CJObPH1srJF/
超吉飯桶-台中站前店,"(24.138785, 120.6836004)",4.1,https://www.instagram.com/p/BXSr7Q1HC_W/
觀世音有機生活館,"(24.1386705, 120.6855478)",4.5,https://www.instagram.com/p/B6TA5npBk7l/
台灣陳沙茶火鍋,"(24.13858960000001, 120.6831206)",4.3,https://www.instagram.com/p/BsvWFFvAKkS/
Hong Ya Hamburger,"(24.1383715, 120.6858803)",4.2,https://www.instagram.com/p/B7xB1mDBo4u/
麥味登台中站前店,"(24.1379866, 120.685188)",4.5,https://www.instagram.com/p/Bn0b7cPBGP5/
