Likes,Date,Location,Location_coord,Grid_coord,Post_url
86.0,2021-12-16 19:03:37,南紡購物中心,"(22.9908366653, 120.2330088295)","(23.0, 120.24)",https://www.instagram.com/p/CXiparAlAj0
41.0,2021-12-16 20:08:14,青舍商旅,"(22.99652, 120.19639)","(23.0, 120.2)",https://www.instagram.com/p/CXiwz8lPwE9
256.0,2021-12-15 22:48:44,毛房 蔥柚鍋 ·冷藏肉專門,"(22.98685, 120.21562)","(22.98, 120.22)",https://www.instagram.com/p/CXgeYnzPRFZ
545.0,2021-12-15 17:06:49,抽獎好興奮,"(22.9833, 120.183)","(22.98, 120.18)",https://www.instagram.com/p/CXf3QU0Po-r
538.0,2021-12-15 21:07:46,奇美博物館 Chimei Museum,"(22.9345736861, 120.225957764)","(22.94, 120.22)",https://www.instagram.com/p/CXgS1HKv3hx
371.0,2021-12-16 18:54:39,奇美博物館 Chimei Museum,"(22.9345736861, 120.225957764)","(22.94, 120.22)",https://www.instagram.com/p/CXioZChveZg
152.0,2021-12-16 00:24:10,奇美博物館 Chimei Museum,"(22.9345736861, 120.225957764)","(22.94, 120.22)",https://www.instagram.com/p/CXgpTjJBG_p
157.0,2021-12-15 02:46:50,屏東公園-聖誕燈氣氛,"(22.6746666667, 120.4927366667)","(22.68, 120.5)",https://www.instagram.com/p/CXeU1kzh4pa
28.0,2021-12-15 16:22:01,屏東公園-聖誕燈氣氛,"(22.6746666667, 120.4927366667)","(22.68, 120.5)",https://www.instagram.com/p/CXfyIPSlYM1
25.0,2021-12-16 19:43:40,屏東和平教會（Official）,"(22.67139, 120.47921)","(22.68, 120.48)",https://www.instagram.com/p/CXit__yB0J5
90.0,2021-12-15 21:57:34,新光三越左營店,"(22.6886802267, 120.3102486389)","(22.68, 120.32)",https://www.instagram.com/p/CXgYh0Mp0tj
834.0,2021-12-16 17:29:34,舞客星woo.k star,"(22.65578, 120.29279)","(22.66, 120.3)",https://www.instagram.com/p/CXiep0BPAXF
135.0,2021-12-15 20:08:49,聖誕快樂因為我們在high,"(22.6543807983, 120.3075637817)","(22.66, 120.3)",https://www.instagram.com/p/CXgMFTaPFCh
17439.0,2021-12-15 18:55:54,高雄洲際酒店-InterContinental Kaohsiung,"(22.61154, 120.30418)","(22.62, 120.3)",https://www.instagram.com/p/CXgDvSTP1q0
