Profile,Profile_followers,Likes,Date,Location,Location_coord,Post_url,Img_link
doris.new0212,844.0,362.0,2021-12-13 21:08:18,新光三越台北信義新天地 A11,"(25.0366621076, 121.5670611633)",https://www.instagram.com/p/CXbJTQrPVly,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266501287_452504722946191_5250006317402055215_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=4X1RrHrw-0oAX_79Ag-&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8G2Zs7YKlyLdk8s52-5XyOs61mqQXsGw3nZ5xAOM6iMw&oe=61C250BC&_nc_sid=83d603
gourmet__cindy,196.0,360.0,2021-12-14 12:36:20,極鮮火鍋-板橋店,"(25.0155651464, 121.4707494378)",https://www.instagram.com/p/CXczgY3vmOK,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/267106013_2988758251437594_2900857373691603701_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=tY1Y-Y4EKdYAX8ahj-J&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_Zsycp76umYz5Lrjr_Wnxt8kV8Nn2T8E4JAhxjxXINfw&oe=61C15D34&_nc_sid=83d603
a_cat17,847.0,357.0,2021-12-09 19:38:38,廣三SOGO百貨,"(24.15528, 120.66178)",https://www.instagram.com/p/CXQr2-3PKYP,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/265810177_4153938484706229_1867584474928257230_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=jlVzBrR3y_QAX9faUxR&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_jXB67C46-F1ZkekK_Ttq4lu8ii3MEalDW1oBz8ZnokA&oe=61C11A4B&_nc_sid=83d603
mr.wang_x,127.0,357.0,2021-12-13 22:40:41,台中車站前廣場,"(24.1374861974, 120.685284203)",https://www.instagram.com/p/CXbT37Mvmv5,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266419964_268094748637628_537067910531531470_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=y2wZg6Q2RSgAX9FIDu6&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-xNuixswYCiFehzMZlZXOYnUtXml1REda6rPDQXlyqxQ&oe=61C21E25&_nc_sid=83d603
kai.dreamer.tw,1159.0,304.0,2021-12-14 18:40:21,台中 中友百貨,"(24.1522890809, 120.6849147869)",https://www.instagram.com/p/CXddKeZl66x,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/266259423_639341607488442_3183898073401644732_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=G7Q7dsyayOcAX8qQjYL&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-lmdfabL1U6V_slaW9z0qjPFUlJvyxrEj1zpN7WbwoYw&oe=61C0F0D8&_nc_sid=83d603
milktea_drink_it,316.0,298.0,2021-12-09 21:25:42,我們的聖誕趴踢,"(24.8637956305, 120.9851517095)",https://www.instagram.com/p/CXQ4HM_vM36,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/264804330_134701985602579_7554964271322431511_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=LuHyVhJzh2IAX8qAOxm&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-1Z1LsHXtB04km19Plzeye5PS4vmq1st-BDX9wB3Ns6Q&oe=61C23A3A&_nc_sid=83d603
plant_hui,723.0,292.0,2021-12-14 08:31:33,麗寶OUTLET MALL,"(24.324749781, 120.6997650862)",https://www.instagram.com/p/CXcXfkNhvri,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266350534_2058712444281476_4932960155245397713_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=iWUfdRbZ5doAX-ak_iE&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_nduDa2Z5pMlQuzDUovq_zEZt1coegBQWoHgDT5IiTIA&oe=61C1FD38&_nc_sid=83d603
o_omikilove,519.0,276.0,2021-12-12 12:30:43,六福村主題遊樂園,"(24.821058232, 121.1822051252)",https://www.instagram.com/p/CXXpRfdp51j,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266398533_384087610175276_5783041269958834929_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AjTTHS4fp3wAX-n03Tt&tn=p3PuYwOUb0brXnrV&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-GkfpqMiUFT7OY03J9bm0HAaQTZR5ezuKwyou71dTDfg&oe=61C2D718&_nc_sid=83d603
tna.929_,371.0,276.0,2021-12-09 14:38:49,台北小巨蛋冰上樂園,"(25.05664933, 121.555843505)",https://www.instagram.com/p/CXQJjDYPZM4,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/265075529_1247290802420207_583564155874042935_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=0NmFkEZU4MEAX8w-TOk&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_OIqBqlSxW5_tl0TFpBZBoCUpxmHl8y95p1UTLyY51_w&oe=61C18400&_nc_sid=83d603
joey60109,1041.0,265.0,2021-12-13 22:13:48,信義區商圈,"(25.0373852903, 121.5668806983)",https://www.instagram.com/p/CXbQy-hvMEZ,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266368959_600338207915108_3541426671448021684_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yBFl1ORPWO0AX9-mdUc&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9scX-Ff87G1InwnZyV1SLjSc_Z1KArW1uktOkXwgJIGQ&oe=61C18E17&_nc_sid=83d603
